second,Volt,Volt
-6.90000E-03,-49.21608E-03,-349.68846E-03
-6.89000E-03,-89.41709E-03,-625.46736E-03
-6.88000E-03,-61.27638E-03,-723.95983E-03
-6.87000E-03,-37.15578E-03,-743.65832E-03
-6.86000E-03,-45.19598E-03,-920.94476E-03
-6.85000E-03,-45.19598E-03,-940.64325E-03
-6.84000E-03,-41.17588E-03,-980.04024E-03
-6.83000E-03,-25.09548E-03,-980.04024E-03
-6.82000E-03,+83.44723E-03,-763.35681E-03
-6.81000E-03,+79.42713E-03,-783.05531E-03
-6.80000E-03,+71.38693E-03,-684.56284E-03
-6.79000E-03,-974.88E-06,-625.46736E-03
-6.78000E-03,+43.24623E-03,-507.27640E-03
-6.77000E-03,+95.50753E-03,-211.79900E-03
-6.76000E-03,+15.10553E-03,-113.30654E-03
-6.75000E-03,+59.32663E-03,+63.97990E-03
-6.74000E-03,+23.14573E-03,+260.96483E-03
-6.73000E-03,+7.06532E-03,+379.15579E-03
-6.72000E-03,+15.10553E-03,+477.64826E-03
-6.71000E-03,+7.06532E-03,+635.23620E-03
-6.70000E-03,-65.29648E-03,+714.03018E-03
-6.69000E-03,-49.21608E-03,+753.42716E-03
-6.68000E-03,-13.03518E-03,+851.91963E-03
-6.67000E-03,-57.25628E-03,+891.31662E-03
-6.66000E-03,-9.01508E-03,+911.01511E-03
-6.65000E-03,-49.21608E-03,+773.12566E-03
-6.64000E-03,-65.29648E-03,+654.93470E-03
-6.63000E-03,-53.23618E-03,+694.33168E-03
-6.62000E-03,-81.37689E-03,+457.94977E-03
-6.61000E-03,-105.49749E-03,+280.66333E-03
-6.60000E-03,-37.15578E-03,+221.56785E-03
-6.59000E-03,-65.29648E-03,+63.97990E-03
-6.58000E-03,+3.04522E-03,-93.60804E-03
-6.57000E-03,-4.99498E-03,-231.49750E-03
-6.56000E-03,-93.43719E-03,-526.97489E-03
-6.55000E-03,-33.13568E-03,-664.86435E-03
-6.54000E-03,-13.03518E-03,-743.65832E-03
-6.53000E-03,+51.28643E-03,-723.95983E-03
-6.52000E-03,+35.20603E-03,-920.94476E-03
-6.51000E-03,-21.07538E-03,-940.64325E-03
-6.50000E-03,+19.12563E-03,-980.04024E-03
-6.49000E-03,+83.44723E-03,-783.05531E-03
-6.48000E-03,-9.01508E-03,-881.54777E-03
-6.47000E-03,-17.05528E-03,-822.45229E-03
